pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
57.368215,-129.416,0.0,top,J1,,,PinHeader_1x08_P2.54mm_Vertical,ROWS,tht
352.824815,-120.453,0.0,top,J2,,,PinHeader_1x13_P2.54mm_Vertical,COLS,tht
332.174515,-93.275,0.0,top,SW1,,,SW_Gateron_LowProfile_THT,СБР,tht
113.094915,-112.3254,0.0,top,SW10,,,SW_Gateron_LowProfile_THT,1,tht
117.857515,-131.3758,0.0,top,SW11,,,SW_Gateron_LowProfile_THT,C,tht
122.620115,-150.4262,0.0,top,SW12,,,SW_Gateron_LowProfile_THT,Y,tht
127.382715,-169.4766,0.0,top,SW13,,,SW_Gateron_LowProfile_THT,⎴,tht
127.382715,-188.527,0.0,top,SW14,,,SW_Gateron_LowProfile_THT,↖,tht
132.145315,-93.275,0.0,top,SW15,,,SW_Gateron_LowProfile_THT,NEW,tht
132.145315,-112.3254,0.0,top,SW16,,,SW_Gateron_LowProfile_THT,2,tht
136.907915,-131.3758,0.0,top,SW17,,,SW_Gateron_LowProfile_THT,U,tht
141.670515,-150.4262,0.0,top,SW18,,,SW_Gateron_LowProfile_THT,W,tht
146.433115,-169.4766,0.0,top,SW19,,,SW_Gateron_LowProfile_THT,S,tht
84.519315,-188.527,0.0,top,SW2,,,SW_Gateron_LowProfile_THT,НР,tht
146.433115,-188.527,0.0,top,SW20,,,SW_Gateron_LowProfile_THT,↑,tht
151.195715,-93.275,0.0,top,SW21,,,SW_Gateron_LowProfile_THT,LOAD,tht
151.195715,-112.3254,0.0,top,SW22,,,SW_Gateron_LowProfile_THT,3,tht
155.958315,-131.3758,0.0,top,SW23,,,SW_Gateron_LowProfile_THT,K,tht
160.720915,-150.4262,0.0,top,SW24,,,SW_Gateron_LowProfile_THT,A,tht
165.483515,-169.4766,0.0,top,SW25,,,SW_Gateron_LowProfile_THT,M,tht
165.483515,-188.527,0.0,top,SW26,,,SW_Gateron_LowProfile_THT,↓,tht
170.246115,-93.275,0.0,top,SW27,,,SW_Gateron_LowProfile_THT,SAVE,tht
170.246115,-112.3254,0.0,top,SW28,,,SW_Gateron_LowProfile_THT,4,tht
175.008715,-131.3758,0.0,top,SW29,,,SW_Gateron_LowProfile_THT,E,tht
94.044515,-93.275,0.0,top,SW3,,,SW_Gateron_LowProfile_THT,FUNC,tht
179.771315,-150.4262,0.0,top,SW30,,,SW_Gateron_LowProfile_THT,P,tht
184.533915,-169.4766,0.0,top,SW31,,,SW_Gateron_LowProfile_THT,I,tht
189.296515,-93.275,0.0,top,SW32,,,SW_Gateron_LowProfile_THT,RUN,tht
189.296515,-112.3254,0.0,top,SW33,,,SW_Gateron_LowProfile_THT,5,tht
194.059115,-131.3758,0.0,top,SW34,,,SW_Gateron_LowProfile_THT,N,tht
198.821715,-150.4262,0.0,top,SW35,,,SW_Gateron_LowProfile_THT,R,tht
203.584315,-169.4766,0.0,top,SW36,,,SW_Gateron_LowProfile_THT,T,tht
208.346915,-93.275,0.0,top,SW37,,,SW_Gateron_LowProfile_THT,STOP,tht
208.346915,-112.3254,0.0,top,SW38,,,SW_Gateron_LowProfile_THT,6,tht
213.109515,-131.3758,0.0,top,SW39,,,SW_Gateron_LowProfile_THT,G,tht
94.044515,-112.3254,0.0,top,SW4,,,SW_Gateron_LowProfile_THT,+,tht
217.872115,-150.4262,0.0,top,SW40,,,SW_Gateron_LowProfile_THT,O,tht
222.634715,-169.4766,0.0,top,SW41,,,SW_Gateron_LowProfile_THT,X,tht
203.584315,-188.527,0.0,top,SW42,,,SW_Gateron_LowProfile_THT,SPACE,tht
227.397315,-93.275,0.0,top,SW43,,,SW_Gateron_LowProfile_THT,CONT,tht
227.397315,-112.3254,0.0,top,SW44,,,SW_Gateron_LowProfile_THT,7,tht
232.159915,-131.3758,0.0,top,SW45,,,SW_Gateron_LowProfile_THT,[,tht
236.922515,-150.4262,0.0,top,SW46,,,SW_Gateron_LowProfile_THT,L,tht
241.685115,-169.4766,0.0,top,SW47,,,SW_Gateron_LowProfile_THT,B,tht
241.685115,-188.527,0.0,top,SW48,,,SW_Gateron_LowProfile_THT,←,tht
246.447715,-93.275,0.0,top,SW49,,,SW_Gateron_LowProfile_THT,EDIT,tht
98.807115,-131.3758,0.0,top,SW5,,,SW_Gateron_LowProfile_THT,J,tht
246.447715,-112.3254,0.0,top,SW50,,,SW_Gateron_LowProfile_THT,8,tht
251.210315,-131.3758,0.0,top,SW51,,,SW_Gateron_LowProfile_THT,],tht
255.972915,-150.4262,0.0,top,SW52,,,SW_Gateron_LowProfile_THT,D,tht
260.735515,-169.4766,0.0,top,SW53,,,SW_Gateron_LowProfile_THT,@,tht
260.735515,-188.527,0.0,top,SW54,,,SW_Gateron_LowProfile_THT,ПВ,tht
265.498115,-93.275,0.0,top,SW55,,,SW_Gateron_LowProfile_THT,◼,tht
